Species1	Species2	Distance
DICDI	MUCCI	1.05537
CIOIN	MACEU	0.80085
NEUCR	PHYIT	1.13376
LATCH	RHIOR	0.98057
THEEB	CAPTE	1.17186
GLOVI	SOYBN	1.05657
PROCA	RHIOR	0.93212
TRIAD	SOLLC	1.17620
METTH	NOMLE	1.23170
SCHCO	SETIT	1.27830
PHACH	TRIAD	1.06730
ECOLI	MUSPF	1.25281
DICDI	NASVI	1.21954
AZOPC	CHLP6	1.14029
CULQU	TAEGU	0.86229
CHLT9	NEIG1	1.11900
MOUSE	MUCCI	1.01720
PROMA	HELRO	1.20774
CHLT9	PIGXX	1.17295
LEIMA	MAIZE	1.09824
MICAN	MEDTR	0.99764
SCHCO	TARSY	1.05824
ACAM1	CROS5	0.66463
NANEQ	YEAST	1.22794
NITGG	AERHH	1.27901
GIAIC	ANOCA	1.26273
RATNO	ENCCU	1.11978
CAMC5	GADMO	1.27567
NOMLE	STRPU	0.85448
SYNAS	RHIOR	1.16482
DESVV	SOLLC	1.16228
ARCFU	EMIHU	1.24264
LOALO	STRPU	0.96882
KORCO	COPCI	1.22019
NATPD	COPPD	1.26974
LEPMJ	CIOSA	1.16268
THEKO	NOSP7	1.28199
CRYPV	LODEL	1.10167
METFK	LOALO	1.18788
LATCH	TARSY	0.39912
RUTMC	ORYSJ	1.04994
HALVD	SORBI	1.24705
BRAFL	YEAST	1.09681
POSPM	NEMVE	1.25968
SCHMA	SORBI	1.01696
FELCA	PRIPA	0.97420
PICTO	ORYSJ	1.25399
METLZ	GEOSL	1.17952
ICTTR	CYAME	0.99052
YARLI	MANES	1.16147
CALJA	XENTR	0.42562
CHLT9	TARSY	1.15032
HORSE	PONAB	0.11835
EHRCJ	DASNO	1.15851
AERPE	SORBI	1.20974
METFK	MAGGR	1.14964
THEAC	PHYPA	1.22610
TREME	MUCCI	0.83915
TRICA	MYCMG	1.33244
DICDI	PEDHC	1.17800
COXBR	SETIT	1.15899
NAEGR	CANLF	1.08966
AGRFC	SULNB	1.21364
ENCCU	CYAME	1.05099
TREME	MONBE	1.03640
MUSPF	TAKRU	0.47796
PROMA	POSPM	1.21622
RABIT	BRADI	1.18151
CRYPV	SETIT	1.06074
PSEP1	USTMA	1.19645
TURTR	CANAW	1.08018
ANOGA	DEBHA	1.25619
BRAFL	RABIT	0.77251
CHLRE	PICST	1.10690
RUTMC	AMPQE	1.05802
CLOTE	PHYPA	1.08607
DICDI	STRPU	1.26707
PYRNV	SYNAS	1.26212
PYRNV	DASNO	1.23056
THEKO	MEDTR	1.23190
NOSP7	CRYPA	1.27418
CRYPV	CAEEL	1.09291
CROS5	MONBE	1.19847
GLOVI	CAPTE	1.25383
ECOLI	APIME	1.28665
GIBZA	PENCH	0.71516
ASPFU	BRADI	1.26987
CONWI	DEBHA	1.37764
NECHA	VERDA	0.50784
NAEGR	ICTTR	1.10850
ANOGA	XENTR	0.88555
NEMVE	YEAST	1.04962
MARHT	HAEI1	1.10403
CROS5	GIBZA	1.23900
CAUVC	SULMD	1.09398
THEAC	SCHPO	1.37132
MYOLU	NOMLE	0.15446
THEEB	BRAFL	1.17809
SYNJA	ORNAN	1.22859
ATETH	LOTGI	1.16688
DEIPM	SCLS1	1.22100
BORPD	DROME	1.26205
GIAIC	CANAW	1.18849
METS5	ORNAN	1.29715
PYRNV	CAVPO	1.26972
TRIEI	NASVI	1.35539
MARMM	MAIZE	1.10650
COPPD	HORSE	1.18149
MICMU	PRIPA	0.95920
AERPE	COPCI	1.21518
ACAM1	PELSI	1.28610
COPPD	VITVI	1.13964
DEIPM	VITVI	1.15301
PUCGT	TRIAD	1.05354
CULQU	ASHGO	1.12370
NEMVE	MANES	1.13956
SYNAS	OSTLU	1.11229
PUCGT	AEDAE	1.11357
IGNH4	ASHGO	1.18881
ECOLI	CHLRE	1.10857
CENSY	DEBHA	1.25782
SORC5	YARLI	1.28926
DESAS	BRAFL	1.20759
ECOLI	PHYIT	1.17236
LACBI	GIAIC	1.18173
NOMLE	VITVI	1.09708
TRIEI	DIPOR	1.22554
ASPFU	ASHGO	0.90575
GLOVI	CRYPA	1.19390
TRIEI	RHIOR	1.16344
DICNV	PONAB	1.25950
CLAM3	TRYB2	1.26495
ATETH	PONAB	1.18525
SACS2	CHLP6	1.35838
BATDE	ERIEU	0.96428
NEUCR	KLULA	0.91740
AERHH	ACYPI	1.25886
SULMD	TUBMM	1.12325
METKA	CRYPV	1.22487
SORC5	COXBR	1.13941
BDEBA	CALJA	1.17231
SACS2	ICTTR	1.31457
TURTR	PICST	1.08709
METBF	CANAW	1.25451
ICTTR	YARLI	1.10084
NOSA0	TAKRU	1.18186
METBF	PENCH	1.25272
GASAC	YEAST	1.09785
CLOTE	TETNG	1.26364
SYNAS	NEUCR	1.22408
THEAC	ECHTE	1.29291
AZOPC	PTEVA	1.16028
TREME	TAKRU	1.05668
BORPD	TRIAD	1.23665
HAEI1	LODEL	1.14064
DAPPU	SORAR	0.80616
THEEB	DICDI	1.19014
IXOSC	PONAB	0.79147
PICTO	ANOGA	1.38282
APIME	RABIT	0.83554
BDEBA	MUSPF	1.18823
CHLRE	PENCH	1.12153
THEEB	TRIEI	0.58975
NEIG1	LOALO	1.15701
CAVPO	PHYPA	1.05191
ANOGA	TRICA	0.72366
CONWI	CAMC5	1.28985
NITMS	CROS5	1.25233
THEKO	PONAB	1.24255
GEOSL	BATDE	1.16512
ECOLI	CRYPA	1.26261
ANOGA	ORNAN	0.84343
CULQU	LEPOC	0.86721
GADMO	PHYBL	0.97214
MARMM	NITOC	1.02706
CALMQ	TUPBE	1.26228
POSPM	GIBZA	1.00379
GEOSL	CAVPO	1.20583
CAMC5	HORSE	1.27391
AERHH	SOLLC	1.19316
PROMA	METCA	1.05926
CHICK	PRUPE	1.20273
PENCH	SCHPO	0.91129
PROMA	RABIT	1.20502
PROMA	GIAIC	1.26603
MACMU	TAEGU	0.30114
MACEU	PANTR	0.22283
PYRHO	MAIZE	1.22568
THEEB	NAEGR	1.15742
BRARP	AERHH	1.16307
CLOTE	MUSPF	1.21248
COXBR	CHICK	1.21456
NITOC	MANES	1.07673
AZOPC	TAEGU	1.20930
METS5	PHYPA	1.21837
SCHCO	MANES	1.24313
METFK	MYOLU	1.16754
PYRNV	AERHH	1.29684
PENCH	MAIZE	1.29196
LATCH	PRIPA	0.99213
GEOSL	SCHCO	1.15652
PHACH	ANOCA	1.19164
TOXGO	TRYB2	1.10444
MARMM	SORC5	1.11300
AGRFC	LACBI	1.19259
SYNJA	PSEP1	1.07750
ACAM1	NAEGR	1.21146
GEOSL	ASHGO	1.16082
BRADI	SOLLC	0.58099
BRARP	VITVI	0.43851
ORNAN	OTOGA	0.31368
EHRCJ	AILME	1.14520
GEOSL	TOXGO	1.12415
PSEP1	RUTMC	0.78039
CIOSA	PHYBL	1.03484
MARM1	ECHTE	1.17207
TUPBE	GIBZA	1.08153
MACEU	XENTR	0.39142
METTH	TAEGU	1.23636
NITSB	ARATH	1.09166
ATETH	MONDO	1.16688
PYRNV	SOYBN	1.18746
MARMM	LEPMJ	1.20152
IXOSC	MYOLU	0.80385
AERPE	SULMD	1.45320
AEDAE	PTEVA	0.85679
HAEI1	TAEGU	1.21290
USTMA	EMIHU	1.05011
METBU	PHYPA	1.15587
MUSPF	IXOSC	0.79455
SYNAS	LACBI	1.20779
ARCFU	METBF	0.88804
COXBR	DEBHA	1.25123
USTMA	ASHGO	0.92916
DANRE	GADMO	0.33319
FELCA	PANTR	0.12879
AERHH	KLULA	1.18792
DIPOR	SORBI	1.16274
PHACH	BOVIN	1.08504
CRYPA	SORBI	1.27987
HELRO	OTOGA	0.81853
YEAST	NOSCE	1.06255
GIBZA	ORYSJ	1.28446
MYOLU	VERDA	1.09721
LEPMJ	TREME	0.94530
CONWI	TRIAD	1.31122
HAEI1	BATDE	1.13313
BRARP	MACEU	1.06012
NITMS	CANLF	1.23865
PICTO	PLAF7	1.25822
LATCH	GORGO	0.43584
MARHT	ECHTE	1.12786
ANOCA	PHYPA	1.13843
ATETH	STRPU	1.19625
NOMLE	SETIT	1.15512
YARLI	ARATH	1.18028
METBU	ANOGA	1.30607
ATETH	DEIPM	1.11522
LATCH	XENTR	0.65525
LACBI	LOALO	1.03764
BORPD	AERHH	0.99934
DESAS	COXBR	1.10075
LEIMA	PIGXX	1.15340
EMIHU	IXOSC	1.05153
PROCA	CANAW	1.05794
GLOVI	ARATH	1.10013
ZYMMO	ACAM1	1.16545
NITEU	MUSPF	1.17481
CHLP6	XENTR	1.18154
HAEI1	CULQU	1.22304
THEPD	PHYBL	1.23798
PICTO	PANTR	1.33845
DESVV	ORYSJ	1.12886
THEPD	NEUCR	1.26096
PROMA	COXBR	1.06767
NITGG	DICPU	1.27199
LATCH	PHYBL	1.00382
ANOGA	BOMMO	0.72084
KORCO	CAMC5	1.37855
MAGGR	SORBI	1.24823
SULMD	OTOGA	1.20487
APIME	MANES	1.16556
LATCH	TURTR	0.40350
AZOPC	NEMVE	1.10355
LATCH	MYOLU	0.44564
PLAF7	CANLF	1.16271
TRYB2	STRPU	1.17699
CHLT9	SULNB	1.15983
GIBZA	MAIZE	1.26594
DEIPM	CALJA	1.17204
METFK	NOSCE	1.40031
APIME	MONDO	0.84728
NITGG	MARHT	1.15893
CONWI	SYNP6	1.09561
ERIEU	STRPU	0.84674
METKA	KORCO	1.03067
THEPD	ECHTE	1.20235
NATPD	CENSY	1.12950
TREME	CANLF	1.02383
USTMA	DAPPU	1.09987
TREME	PICST	0.96681
ATETH	TRIEI	0.57096
METBU	NITSB	1.17263
SULMD	APIME	1.13790
TRIEI	COCLU	1.24340
CALMQ	KORCO	1.09317
CALMQ	DASNO	1.31044
PHACH	DROME	1.10717
SYNJA	SPIPN	1.09049
METBF	DESVV	1.20927
METBU	TARSY	1.23196
THEEB	PIGXX	1.15163
AERHH	MACMU	1.21408
METTH	EHRCJ	1.31994
MUCCI	PHYBL	0.50641
LACBI	SORAR	1.01652
IGNH4	DICPU	1.23937
PICTO	CENSY	1.17170
DEIPM	MARM1	1.14381
METTH	MICAN	1.19939
CALJA	DROME	0.87754
PRIPA	TRICA	1.00375
COPPD	BATDE	1.17399
BOVIN	VERDA	1.09958
TRIV2	COPPD	1.14596
HALVD	PONAB	1.28024
CHLT9	MAIZE	1.06115
AEDAE	RATNO	0.86381
PSEP1	TRICA	1.29273
MARM1	PHYPA	1.11824
NITMS	CHLT9	1.33980
CIOSA	SELML	1.16964
PTEVA	RABIT	0.14866
DECAR	TAEGU	1.17152
CALMQ	SORBI	1.26311
CHLP6	RABIT	1.16257
METTH	THEAC	1.06765
CIOSA	MAIZE	1.14852
TRYB2	ANOCA	1.21536
ARCFU	NEUCR	1.25486
METBU	SARHA	1.24358
TRIV2	TRICA	1.29615
NATPD	CLOTE	1.35912
LEPOC	SCLS1	1.11954
COPPD	PUCGT	1.15388
NOMLE	PHYPA	1.02457
METBF	CAPO3	1.22187
CHLRE	ACYPI	1.11078
METTH	NOSA0	1.20330
NITGG	RABIT	1.24198
MARHT	SYNAS	1.04755
HAEI1	AILME	1.20503
AERPE	MARHT	1.10901
LOTGI	RABIT	0.80604
NITOC	NOSCE	1.35889
DROME	SCHMA	0.93985
COPPD	RUTMC	1.15079
NOSP7	ICTTR	1.30108
MARHT	YEAST	1.14339
AMPQE	MAIZE	1.09514
NITEU	PEDHC	1.22255
METKA	RABIT	1.17988
DESVV	HORSE	1.25392
PICTO	BDEBA	1.34061
AERHH	ORYSJ	1.17779
POSPM	GORGO	1.18012
HELRO	ASHGO	1.06071
NOSA0	PROMA	0.76016
RATNO	ICTTR	0.19926
NANEQ	PLAF7	1.23589
THEPD	SCHMA	1.27166
METLZ	MUSPF	1.26331
LACBI	SCHPO	0.91375
CALMQ	TRIEI	1.33396
CRYPV	ORNAN	1.08171
ARCFU	SCHPO	1.24082
TRIEI	SORAR	1.26452
CAUVC	CRYNJ	1.17332
PHYBL	LODEL	0.89082
CAEEL	LOALO	0.79782
MUCCI	SETIT	1.15314
CHLT9	RATNO	1.16709
THEPD	CHOHO	1.27148
NITEU	LOTGI	1.21410
LEIMA	SCHPO	1.14412
TETNG	MAGGR	1.14000
CROS5	SOLLC	1.08186
COXBR	TUBMM	1.16444
KORCO	NAEGR	1.26170
ANOGA	MACMU	0.86127
MARM1	CRYNJ	1.20090
LATCH	PROCA	0.41483
SORC5	ASPFU	1.27882
SACS2	SYNP6	1.34720
KORCO	SYNJA	1.27940
CAMC5	CIOIN	1.29122
PSEP1	XENTR	1.25460
KORCO	CENSY	1.10932
CLAM3	DANRE	1.28376
METKA	AZOPC	1.28984
THEAC	GASAC	1.33332
NOMLE	OCHPR	0.15722
SACS2	NATPD	1.25592
METJA	NEIG1	1.28253
METLZ	ECOLI	1.32548
METS5	TUPBE	1.25714
POSPM	MUCCI	0.86369
MARMM	NEUCR	1.18540
ATETH	PHACH	1.12419
NOSP7	NOMLE	1.29115
TRIV2	METCA	1.05695
CHLRE	YEAST	1.11034
DANRE	TAKRU	0.38650
METTH	DASNO	1.23256
PICTO	MUSPF	1.33987
GORGO	RABIT	0.15515
ZYMMO	SULNB	1.14980
COXBR	ARATH	1.16578
CULQU	MYCMG	1.32101
DEIPM	PTEVA	1.14395
METCA	LACBI	1.11099
DECAR	GIBZA	1.20464
CALJA	SARHA	0.26469
PUCGT	SOYBN	1.18173
NOSP7	COCLU	1.28107
METKA	THEAC	1.10673
BDEBA	MICMU	1.16504
TOXGO	NEMVE	1.01624
THEEB	CAVPO	1.15015
NITMS	SULMD	1.28360
CIOSA	XENTR	0.79183
CRYPV	YEAST	1.09552
ECOLI	OTOGA	1.27820
SULMD	PRIPA	1.18124
CHLT9	MARM1	1.15971
SULMD	DESVV	1.13033
ANOGA	PRUPE	1.25046
CAPO3	PRUPE	1.10021
AGRFC	METFK	1.06676
RABIT	TAEGU	0.29567
CAUVC	CHLRE	1.07353
TOXGO	LEIMA	1.15517
ATETH	HUMAN	1.18659
MARMM	MACMU	1.16772
CALMQ	NEIG1	1.36512
BORPD	HAEI1	0.97253
THEAC	BRAFL	1.38417
MARHT	CULQU	1.20619
NANEQ	NITGG	1.07770
SULMD	LOXAF	1.17328
HUMAN	YEAST	1.08589
AGRFC	TOXGO	1.06770
CIOSA	TAKRU	0.76773
ANOCA	GASAC	0.47493
LEPMJ	CAVPO	1.14179
LEIMA	PONAB	1.14814
HORSE	DEBHA	1.13659
ECHTE	NASVI	0.83503
MARHT	SARHA	1.17026
CLAM3	SETIT	1.17259
PSEP1	LEIMA	1.16286
MARHT	LOALO	1.21959
PUCGT	PHYPA	1.05066
TRIV2	CIOIN	1.28894
PUCGT	CIOIN	1.05867
ANOCA	HUMAN	0.40548
MARM1	ERIEU	1.17477
DICNV	MAGGR	1.18725
DEIPM	VERDA	1.19267
BORPD	YEAST	1.16883
AGRFC	TARSY	1.15226
SYNJA	PICST	1.13785
SORC5	DAPPU	1.29696
CHLP6	SORAR	1.15147
METKA	PRIPA	1.24020
CAUVC	MAIZE	1.13621
PUCGT	TRICA	1.13669
CARRP	DEBHA	1.13896
DECAR	PENCH	1.18581
AZOPC	GIAIC	1.24206
METLZ	CARRP	1.44566
PONAB	SETIT	1.13349
METJA	HELRO	1.27617
ACYPI	HELRO	0.86937
LEPMJ	HETAN	0.90610
CALJA	PHYPA	0.98114
PYRHO	PHYBL	1.25568
GASAC	BRADI	1.13937
CRYPV	ANOGA	1.07925
CALMQ	STRPU	1.34446
CALMQ	CHLT9	1.34432
PYRNV	METCA	1.25287
ICTTR	CRYPA	1.13842
METBU	CHOHO	1.24659
NOSP7	YARLI	1.22097
OCHPR	DEBHA	1.08982
SACS2	THEEB	1.36568
CLAM3	DESAS	1.21171
PROMA	MYOLU	1.20048
SULNB	NITOC	1.11690
USTMA	GIBZA	0.93366
ASHGO	POPTR	1.12240
CAEEL	ASHGO	1.10767
BRAFL	PHYIT	1.09809
DICPU	SETIT	1.33365
MUSPF	GIBZA	1.13528
COCLU	CHLRE	1.10889
PRIPA	RATNO	0.99770
NATPD	SOYBN	1.23577
CAEEL	DROME	1.01429
MICAN	PRUPE	1.01825
EHRCJ	ORNAN	1.16900
DECAR	DEIPM	1.06233
GIBZA	PHYPA	1.14441
SCHCO	TREME	0.79653
CHOHO	SORAR	0.19853
CLAM3	CANLF	1.26408
TRIEI	NECHA	1.27559
CLAM3	HAEI1	1.19611
SULMD	CLOTE	1.06526
SORC5	IXOSC	1.23459
CULQU	NEMVE	0.85919
CROS5	VERDA	1.21556
DICDI	LOXAF	1.16594
BDEBA	NITSB	1.08464
CHICK	CANAW	1.13245
NITMS	TETNG	1.27264
PHYBL	VITVI	1.11513
LEPMJ	ANOGA	1.22576
PELSI	PICST	1.11814
METLZ	RUTMC	1.25822
METJA	CLOTE	1.19592
DICDI	CAEEL	1.33635
SACS2	GASAC	1.33928
PLAF7	DASNO	1.17911
PYRNV	PLAF7	1.23889
CHLP6	MAGGR	1.18145
PHACH	PRIPA	1.16793
METS5	MUSPF	1.29148
COPCI	TUBMM	0.91633
NOSP7	MONDO	1.27535
TRYB2	NOSCE	1.23598
CLAM3	OTOGA	1.26629
CRYPV	CAPTE	1.06293
SULMD	STRPU	1.12471
METS5	YARLI	1.34499
METTH	NAEGR	1.23002
POSPM	TAEGU	1.22059
LOALO	CYAME	1.00083
DROME	LOXAF	0.87527
ZYMMO	TRYB2	1.20578
METS5	BOVIN	1.29685
NASVI	PEDHC	0.66725
TRICA	MONBE	1.03483
RUTMC	COCLU	1.10959
ORYLA	SORAR	0.46891
TRIEI	ASHGO	1.20990
LOTGI	DEBHA	1.12810
CHLP6	GADMO	1.21746
METBF	ERIEU	1.20946
LACBI	VERDA	0.92369
CROS5	DANRE	1.25241
EMIHU	AMPQE	1.07279
CIOSA	DAPPU	0.86996
CALMQ	CRYPV	1.28513
CRYNJ	BATDE	0.88764
MICMU	POPTR	1.06764
LOALO	SCLS1	1.06847
NOSP7	HORSE	1.30220
KLULA	ORYSJ	1.17416
TRIEI	ORNAN	1.28150
HORSE	TUPBE	0.12749
CAPTE	PRUPE	1.24432
ECOLI	MONBE	1.15864
CAPO3	ORYSJ	1.06662
ASHGO	PRUPE	1.15958
EHRCJ	VITVI	1.05177
NITOC	SPIPN	1.08944
AERHH	CRYNJ	1.15661
CARRP	CIOSA	1.12786
CRYNJ	SCHMA	1.02436
EMIHU	VERDA	1.08493
KORCO	NECHA	1.30354
PIGXX	YEAST	1.08093
MACMU	MANES	1.07599
MUSPF	CANAW	1.09949
ANOCA	LOALO	0.93974
HETAN	GUITH	1.05559
LEPMJ	MAIZE	1.22999
TRICA	TUPBE	0.82877
NATPD	MANES	1.24347
NITOC	VITVI	1.09649
BRARP	APIME	1.14940
NITSB	SCLS1	1.17364
ECHTE	BRADI	1.05905
ZYMMO	CAPTE	1.22843
NITOC	STRPU	1.17752
ATETH	YEAST	1.13355
TREME	RATNO	1.03421
HALVD	TRIAD	1.34230
LATCH	DASNO	0.45313
THEEB	SCHMA	1.15333
CAPTE	LOTGI	0.78966
METTH	LOXAF	1.22618
DICDI	BRAFL	1.31672
DASNO	ORNAN	0.43777
TREME	GASAC	1.05450
ATETH	MICAN	0.50961
RATNO	SCLS1	1.08274
SARHA	PHYBL	0.98988
IXOSC	SELML	1.11150
CIOSA	PIGXX	0.75489
METCA	YEAST	1.15816
SACS2	NASVI	1.41170
METFK	TAEGU	1.19858
CAUVC	ORNAN	1.19572
NITGG	CAUVC	1.29180
GIBZA	SETIT	1.31374
BDEBA	NITOC	1.12784
GUITH	MUCCI	1.03081
MARMM	PIGXX	1.19457
NEIG1	BOVIN	1.15633
AZOPC	MAGGR	1.16615
MARMM	PRIPA	1.25135
CHICK	ORYSJ	1.17838
NITGG	DIPOR	1.26708
ECHTE	TARSY	0.20185
THEPD	PROMA	1.38677
LATCH	IXOSC	0.81251
PYRNV	EHRCJ	1.36917
TRIEI	CRYPA	1.20327
HELRO	PENCH	1.16276
AERPE	NEUCR	1.24454
COPCI	NECHA	0.98741
ZYMMO	MACMU	1.17892
DECAR	NITEU	0.63452
NATPD	DESVV	1.24494
KORCO	LOXAF	1.26635
METCA	BOMMO	1.17740
CAPTE	PICST	1.15083
NATPD	GIAIC	1.31423
CALJA	BRADI	1.10449
MARM1	SOLLC	1.22391
APIME	NECHA	1.30038
DIPOR	PANTR	0.14776
TRIV2	SARHA	1.24316
DECAR	TREME	1.12284
CULQU	ORYSJ	1.26087
SACS2	SOYBN	1.27445
PSEP1	YARLI	1.22902
XENTR	CYAME	1.00881
NITSB	MICMU	1.20008
BORPD	SORAR	1.11803
NANEQ	CRYPV	1.23292
METLZ	MARHT	1.22432
HUMAN	TAEGU	0.28196
DICNV	MONDO	1.20767
CALJA	LOALO	0.92424
RABIT	PHYBL	1.00603
ACAM1	POSPM	1.32122
NATPD	PANTR	1.29449
MICAN	DESAS	1.18193
MACEU	SCLS1	1.04898
YARLI	SOLLC	1.17806
NOSA0	TARSY	1.13123
APIME	ARATH	1.18152
CANLF	ENCCU	1.10891
SORC5	PIGXX	1.25419
HETAN	APIME	1.20571
EHRCJ	PSEP1	1.15989
HETAN	TUPBE	1.07353
DICNV	PHYIT	1.16730
NOSP7	LOXAF	1.30062
NEIG1	ACYPI	1.22009
GORGO	PENCH	1.15310
SPIPN	PELSI	1.00487
CAMC5	TAKRU	1.29976
NITMS	CHLRE	1.26280
NOMLE	PHYBL	0.97923
LEIMA	LOXAF	1.16931
DESAS	GORGO	1.20910
METBF	RATNO	1.26450
NASVI	PHYBL	1.10342
MYOLU	VITVI	1.09761
NITOC	MACMU	1.11761
NECHA	NEUCR	0.55827
HORSE	PRIPA	0.99129
DANRE	MOUSE	0.58010
CHLT9	LOTGI	1.23523
METKA	ZYMMO	1.26409
LOXAF	MANES	1.11031
ANOCA	CRYPA	1.13933
THEAC	ICTTR	1.34140
CHICK	MACEU	0.27336
CHICK	TAEGU	0.13500
PROCA	SORBI	1.11358
SACS2	ZYMMO	1.40395
IXOSC	MANES	1.09464
CAEEL	ORYSJ	1.28598
CLAM3	CHICK	1.28533
SORAR	TAEGU	0.29031
BRADI	POPTR	0.56765
CHLRE	ASHGO	1.08158
THEKO	CRYPA	1.22664
EHRCJ	POPTR	1.04733
ZYMMO	THEEB	1.07232
SYNAS	MONBE	1.17744
CHLP6	ORYSJ	1.12803
USTMA	SORAR	1.02830
COPPD	AERHH	1.18889
NITGG	NITEU	1.24062
METS5	PUCGT	1.26689
DANRE	ARATH	1.21358
NEIG1	GEOSL	0.99119
AEDAE	MICMU	0.85139
TREME	CIOIN	1.05082
METCA	ANOCA	1.18059
SCHCO	MAIZE	1.22054
CALMQ	GORGO	1.30975
NOSA0	SYNAS	1.07298
MARM1	GIAIC	1.27742
SYNJA	NEMVE	1.16879
MARM1	MYOLU	1.25018
MACMU	PELSI	0.31496
CONWI	ORYSJ	1.22257
THEEB	CAMC5	1.13480
MICAN	PTEVA	1.20661
AGRFC	DIPOR	1.14479
METKA	METTH	0.86480
CHLP6	CAPO3	1.15279
EHRCJ	GIAIC	1.23277
PROMA	CRYNJ	1.13779
SORC5	PRIPA	1.31184
METCA	LEPOC	1.18756
HUMAN	MACMU	0.04611
NITGG	NOMLE	1.25142
CHICK	ERIEU	0.30810
TRIV2	SELML	1.03498
TRIEI	MOUSE	1.31152
METCA	CRYPA	1.14632
DASNO	PHYPA	1.03067
BDEBA	SETIT	1.16075
PROMA	CAVPO	1.21873
METTH	BRARP	1.17431
SULNB	TOXGO	1.10278
BOVIN	CALJA	0.15208
BORPD	PRIPA	1.30486
MARHT	PROCA	1.10864
NITGG	LEPMJ	1.25542
GORGO	TETNG	0.48600
AZOPC	LOXAF	1.16473
NOSA0	IXOSC	1.17413
CONWI	DESAS	1.20779
HAEI1	XENTR	1.23391
SYNJA	ARATH	0.95124
SPIPN	CANAW	0.96430
SPIPN	RATNO	0.98882
EHRCJ	PONAB	1.14691
CHICK	PHYPA	1.05248
PICTO	SORBI	1.28186
MUSPF	CULQU	0.86436
SYNJA	POSPM	1.24031
NOSA0	PLAF7	1.13576
CLOTE	TRICA	1.25333
GLOVI	PHACH	1.15846
DESAS	NAEGR	1.21815
BRARP	NITSB	1.07842
PANTR	PHYBL	0.95275
DANRE	SELML	1.17981
SULMD	PRUPE	1.10821
POSPM	CIOSA	1.25921
NOMLE	SORBI	1.16199
DEBHA	PRUPE	1.25897
OCHPR	PRUPE	1.11739
TUBMM	CYAME	1.02818
METTH	RABIT	1.20831
GLOVI	LEIMA	1.18568
LATCH	MUSPF	0.42328
KORCO	SULNB	1.35488
DICPU	CHLRE	1.13653
AGRFC	PUCGT	1.18369
USTMA	TURTR	1.03822
AERPE	SORAR	1.23181
COCLU	OTOGA	1.16535
METKA	MYOLU	1.18907
NOSA0	THEEB	0.54901
THEAC	MARM1	1.41062
CONWI	NOMLE	1.25985
OSTLU	SOYBN	0.85887
MUSPF	ARATH	1.14337
NOSA0	PTEVA	1.18237
APIME	SOYBN	1.16812
PUCGT	RABIT	1.03479
BOVIN	DROME	0.87288
CANLF	MICMU	0.12159
ARCFU	PROMA	1.25597
PYRNV	SULNB	1.33005
CALMQ	SACS2	0.93584
NITSB	IXOSC	1.18047
BOVIN	DASNO	0.18610
BRARP	NOSCE	1.14068
CANLF	LEPOC	0.43426
CHLRE	MONBE	1.06239
TREME	NEMVE	1.01179
AGRFC	SCHCO	1.21942
THEKO	AEDAE	1.26576
CAPO3	SETIT	1.07839
NITMS	PRIPA	1.28248
SORC5	BRADI	1.21333
OSTLU	CIOSA	1.07992
LACBI	CAPTE	1.10287
METLZ	PHYIT	1.24903
METCA	NAEGR	1.16235
NOSA0	NITSB	1.12856
CHOHO	POPTR	1.03435
ATETH	CRYPA	1.12168
TAKRU	TRIAD	0.91765
ANOGA	RABIT	0.86708
MANES	SOLLC	0.41679
IXOSC	STRPU	0.90162
NITGG	COPCI	1.21095
METJA	GIBZA	1.24478
TRYB2	CANAW	1.18870
DIPOR	NEMVE	0.77856
PUCGT	NEUCR	0.96021
CIOIN	SOLLC	1.30233
PUCGT	NOSCE	1.04133
ECOLI	AILME	1.28152
KORCO	CRYPA	1.32955
PUCGT	MOUSE	1.03256
RABIT	CYAME	0.97283
LOALO	SCHMA	0.94175
TETNG	PHYPA	1.04836
ARCFU	MUCCI	1.27418
NITGG	NOSA0	1.23077
METKA	VERDA	1.23214
OTOGA	CANAW	1.11407
ACAM1	CARRP	1.17508
COXBR	SORBI	1.15604
AERPE	LATCH	1.24869
NITEU	ANOCA	1.18327
USTMA	CHICK	1.07563
DANRE	FELCA	0.53992
ORYSJ	VITVI	0.52445
MARMM	NOSA0	1.11852
METTH	PEDHC	1.23556
AILME	LOXAF	0.13920
METBU	NOSCE	1.31479
TRIV2	ACYPI	1.31224
ARCFU	CROS5	1.21724
NEIG1	TRIEI	1.06341
COPCI	CRYNJ	0.81891
ANOGA	FELCA	0.86473
RATNO	MEDTR	1.24351
SULNB	COCLU	1.22373
MUSPF	AMPQE	0.96972
THEAC	PONAB	1.32134
CENSY	CLAM3	1.25151
THEPD	ATETH	1.39299
SULMD	BATDE	1.16573
METJA	DEIPM	1.28533
CROS5	SYNJA	0.66139
PROMA	COCLU	1.17623
AERHH	TRICA	1.25498
ARCFU	SORAR	1.21651
HALVD	PTEVA	1.28031
THEPD	DASNO	1.23206
AILME	ASPFU	1.10488
AERPE	HAEI1	1.33947
MACMU	PANTR	0.04898
EHRCJ	LACBI	1.10250
CHLP6	NITSB	1.12010
TOXGO	COCLU	1.10270
SCHMA	MAGGR	1.08700
MACEU	KLULA	1.03692
CAUVC	BRARP	1.16189
SACS2	DIPOR	1.31542
DECAR	MUCCI	1.12778
MICMU	NEUCR	1.06586
