Species1	Species2	Distance
ZYMMO	YARLI	1.22227
METBU	SULNB	1.19136
CAUVC	ACAM1	1.16878
CARRP	VITVI	1.09922
ATETH	MYCMG	1.12181
YEAST	MAIZE	1.15042
METCA	MOUSE	1.18404
NANEQ	CAPO3	1.21631
METBF	ECOLI	1.29116
TOXGO	GORGO	1.04332
ZYMMO	TRIEI	1.13726
TRYB2	SOYBN	1.20533
PROMA	TETNG	1.19505
AEDAE	ORNAN	0.85461
OSTLU	NOSCE	1.15521
AERPE	MARM1	1.34150
BRAFL	GORGO	0.77470
METS5	GUITH	1.26786
NASVI	NOMLE	0.85491
CAVPO	PRIPA	0.96950
SARHA	ASHGO	1.06878
NITGG	TAEGU	1.25697
AMPQE	ORYSJ	1.11244
CRYPV	CAPO3	1.05800
AERHH	TARSY	1.14603
FELCA	ARATH	1.14816
AGRFC	PICST	1.22022
COPCI	CAVPO	1.14669
HORSE	YARLI	1.14504
NATPD	SELML	1.25338
MICAN	NAEGR	1.19346
DICDI	TARSY	1.10226
TURTR	MANES	1.04559
PROMA	CHLRE	0.95883
SULMD	CANLF	1.08091
CAMC5	CANLF	1.22790
NANEQ	ORNAN	1.22520
MONDO	PICST	1.11964
METJA	NOSA0	1.23277
AERHH	PHYIT	1.13742
SPIPN	PRIPA	1.06142
EHRCJ	NEMVE	1.14844
CAEEL	TETNG	0.99387
DICNV	LACBI	1.15956
AGRFC	GIBZA	1.25087
DESVV	BATDE	1.19790
DROME	GORGO	0.87740
GEOSL	PHYPA	1.05817
CRYNJ	BRAFL	1.09141
CHLP6	SETIT	1.09027
DESAS	HAEI1	1.14198
TAKRU	NECHA	1.20965
SORAR	MONBE	0.97631
FELCA	TARSY	0.12709
CIOIN	DEBHA	1.14288
NANEQ	METCA	1.36245
METBF	NITEU	1.21684
CIOIN	YARLI	1.11771
CIOIN	CIOSA	0.31604
TAEGU	MYCMG	1.31425
RUTMC	TARSY	1.10912
GASAC	TAEGU	0.43451
HAEI1	MAGGR	1.16281
DESVV	DASNO	1.21946
DEBHA	PHYIT	1.22643
GEOSL	TAEGU	1.19948
HAEI1	MYCMG	1.14698
IGNH4	CIOSA	1.26462
PTEVA	NOSCE	1.12085
TRIEI	ICTTR	1.25374
NITMS	SORAR	1.24826
NITEU	MEDTR	1.08858
HETAN	NECHA	0.93581
IXOSC	YARLI	1.11044
LACBI	PANTR	1.02513
CENSY	SYNAS	1.24798
CHLP6	PIGXX	1.17364
CLOTE	ECOLI	1.23852
DICNV	OSTLU	1.11946
METS5	ARATH	1.25014
DAPPU	NOSCE	1.12791
METLZ	NOMLE	1.26113
DECAR	METS5	1.32191
PSEP1	MYCMG	1.23270
CAUVC	LODEL	1.21946
MUSPF	RABIT	0.15730
NITMS	BATDE	1.26074
ERIEU	BRADI	1.04747
AERHH	PUCGT	1.11965
COPPD	SETIT	1.10360
CAUVC	HETAN	1.20114
THEPD	SOYBN	1.21626
COPCI	HORSE	1.16237
OSTLU	XENTR	1.05416
IGNH4	THEKO	0.98975
CHLRE	BOMMO	1.08972
CAUVC	CAPTE	1.20309
NAEGR	DIPOR	1.07719
METJA	SULMD	1.26195
CONWI	ENCCU	1.31479
BRARP	MONBE	1.04058
NEIG1	CAMC5	1.05329
DROME	CYAME	1.00017
THEKO	NOMLE	1.23288
SYNAS	PELSI	1.22260
ANOGA	PEDHC	0.70199
CLAM3	RUTMC	1.15280
THEKO	CAMC5	1.36070
NOSP7	GASAC	1.33066
THEEB	MARHT	1.03000
GIAIC	NOMLE	1.25081
CAPTE	STRPU	0.93792
SPIPN	PHYPA	0.98817
BDEBA	SELML	1.16566
PIGXX	ICTTR	0.15968
CLAM3	EHRCJ	1.17974
THEEB	CHLRE	0.94070
ZYMMO	PRUPE	1.15415
PTEVA	MANES	1.06287
IGNH4	VITVI	1.20067
TREME	SCHMA	1.00654
RUTMC	DICPU	1.11246
IGNH4	ORYSJ	1.18938
TUPBE	PRUPE	1.09369
MUSPF	PRUPE	1.16023
NITMS	SOLLC	1.24345
CHLT9	NITOC	1.13040
CAPTE	ARATH	1.21724
HELRO	RHIOR	0.94501
LEIMA	SORAR	1.12800
ARCFU	DICPU	1.27337
NITEU	GIAIC	1.27016
NEUCR	PENCH	0.69827
METBU	DAPPU	1.26324
ACYPI	TUPBE	0.85983
AGRFC	CIOSA	1.25329
RABIT	MONBE	0.97724
NITSB	DICDI	1.17651
RABIT	STRPU	0.86803
BATDE	CIOSA	0.97649
GLOVI	POPTR	1.07272
DEIPM	LOXAF	1.17892
ACYPI	DAPPU	0.80535
METS5	PRUPE	1.25896
NITGG	TURTR	1.24449
TOXGO	LOTGI	0.98055
OSTLU	SETIT	0.87253
THEKO	CAPO3	1.19958
NITGG	PUCGT	1.20464
PICTO	CHLRE	1.30374
SACS2	COPPD	1.26987
TOXGO	BOVIN	1.04088
MONBE	PRUPE	1.09520
BOVIN	SCLS1	1.07068
ENCCU	NECHA	1.05265
NITMS	PTEVA	1.25599
CAVPO	TUBMM	1.06814
PYRHO	MYOLU	1.24727
DEIPM	YEAST	1.18325
NEUCR	PICST	0.90493
SORC5	HAEI1	1.13369
HETAN	FELCA	1.12249
IGNH4	ORNAN	1.23387
CLOTE	DICPU	1.19430
METBU	LOXAF	1.24787
BOMMO	SELML	1.13354
CAUVC	DANRE	1.24066
DECAR	LEPMJ	1.16443
MARHT	PONAB	1.14921
CLOTE	PRUPE	1.14644
CAVPO	TURTR	0.15441
DESVV	YARLI	1.20768
NOMLE	ORNAN	0.28662
PICTO	NITOC	1.32572
TARSY	MAGGR	1.09113
GEOSL	PEDHC	1.21146
NITOC	PROCA	1.07426
ERIEU	MOUSE	0.19963
MARM1	TREME	1.20289
DIPOR	PENCH	1.13745
TRYB2	CHICK	1.23171
METS5	COPPD	1.24223
CAUVC	PHACH	1.19836
DROME	XENTR	0.88587
CHLT9	CAVPO	1.18265
CROS5	CANAW	1.19781
CARRP	DICDI	1.12194
METLZ	CLOTE	1.21006
AZOPC	OCHPR	1.15964
METS5	ASPFU	1.38272
MARMM	POSPM	1.24674
ACYPI	SORAR	0.85978
COXBR	ICTTR	1.18011
MUSPF	PENCH	1.15599
ECOLI	MUCCI	1.17849
OSTLU	SPIPN	1.01207
CALMQ	NOSCE	1.33770
PEDHC	CYAME	1.04723
CALJA	ORYSJ	1.12160
HORSE	KLULA	1.10102
AILME	PHYPA	1.03138
MOUSE	DEBHA	1.12756
NANEQ	LEIMA	1.23566
METKA	SORC5	1.22141
SYNAS	XENTR	1.19750
CROS5	MICMU	1.20093
SULNB	YARLI	1.17503
THEEB	FELCA	1.15394
CIOIN	PENCH	1.20124
CANLF	ERIEU	0.14806
CAPTE	TUBMM	1.09175
ACAM1	AEDAE	1.29378
METBU	AMPQE	1.22631
CAMC5	PANTR	1.23308
AILME	CIOSA	0.76144
RATNO	ASPFU	1.09880
AERPE	EMIHU	1.23941
METCA	PUCGT	1.08619
EHRCJ	PICST	1.10274
NITSB	POPTR	1.10077
IGNH4	NAEGR	1.22573
CHLT9	CAMC5	1.18773
NITMS	TAKRU	1.28223
DANRE	ASHGO	1.06226
BRARP	MUSPF	1.09874
THEKO	BRAFL	1.25796
TRYB2	ACYPI	1.24304
SULMD	TURTR	1.16790
METS5	KLULA	1.32740
CAPO3	OCHPR	0.93677
HALVD	SPIPN	1.25185
LEPOC	SCHMA	0.92578
SORC5	PANTR	1.25870
CRYPV	PROCA	1.01060
ARCFU	MONDO	1.29444
DICNV	SARHA	1.21174
PLAF7	CAVPO	1.16665
COCLU	PROCA	1.10123
USTMA	POPTR	1.15873
PICTO	DAPPU	1.36726
ECOLI	COCLU	1.28901
MYOLU	YEAST	1.07045
BOMMO	TETNG	0.84850
IXOSC	CYAME	1.00218
TRIEI	FELCA	1.28461
KORCO	ZYMMO	1.38198
MUSPF	PROCA	0.14971
BRAFL	PELSI	0.76887
LACBI	OSTLU	1.04711
MOUSE	SARHA	0.32047
METBU	ASHGO	1.22284
EHRCJ	DAPPU	1.11475
DECAR	CRYPA	1.17213
APIME	MONBE	1.01719
LEIMA	TRICA	1.22406
SYNJA	COXBR	1.03364
GLOVI	PROMA	0.83773
CAPTE	ORYLA	0.80886
APIME	DASNO	0.84513
HELRO	MYOLU	0.81580
ORYLA	SELML	1.14120
LEPOC	PRIPA	0.99036
DEIPM	USTMA	1.15605
AGRFC	SOLLC	1.21080
MUSPF	SETIT	1.15526
CANLF	GADMO	0.43211
HALVD	GLOVI	1.18612
GADMO	MYCMG	1.29561
AZOPC	METCA	1.10174
RUTMC	HETAN	1.09989
METBU	BDEBA	1.25568
CIOSA	PROCA	0.76044
MICAN	CAPO3	1.16814
NEIG1	PHACH	1.13521
COPPD	XENTR	1.17551
CONWI	MICMU	1.22578
HETAN	ENCCU	1.03604
CROS5	SELML	1.01587
THEAC	NITSB	1.32374
SCHMA	PENCH	1.09986
TARSY	BRADI	1.07492
METBF	YARLI	1.24532
CAUVC	MICAN	1.11987
TRIV2	CRYPV	1.26771
DECAR	AILME	1.19235
LOTGI	ARATH	1.15650
METCA	VERDA	1.14659
CONWI	OCHPR	1.22312
METTH	SYNAS	1.14765
DICNV	ORNAN	1.22596
SULMD	ASPFU	1.12345
GADMO	PHYIT	1.05952
PELSI	RABIT	0.31904
